"","Subject","Age","Gender","STAIT","Condition","EV","AltEV","Risk","AltRisk","Actual","Counterfactual","Satisfaction","ReactionTime","Trial","TrialTot"
"162",2,20,"male",27,"double","low","low","low","high",20,40,2.53807071242435,1.63843153900052,18,66
"163",2,20,"male",27,"double","low","low","high","low",0,20,-5.8082772072788,3.93152284100051,19,67
"164",2,20,"male",27,"double","high","low","low","low",20,20,1.83033945607525,3.19007307100037,20,68
"165",2,20,"male",27,"double","high","low","high","high",40,0,6.73564919835693,4.71412655199947,21,69
"166",2,20,"male",27,"double","high","low","high","high",40,0,6.34517678106088,1.90456243900007,22,70
"167",2,20,"male",27,"double","high","high","low","high",20,40,3.73389249039351,3.11418934099947,23,71
"168",2,20,"male",27,"double","high","low","high","low",40,20,6.73564919835693,1.66808209700048,24,72
"169",2,20,"male",27,"single","high","low","low","low",40,20,6.63803109403292,3.55414483599998,1,73
"170",2,20,"male",27,"single","low","low","high","low",40,40,6.5404129897089,3.36551871799929,2,74
"171",2,20,"male",27,"single","high","high","high","low",40,20,6.5648175157899,2.5367691499996,3,75
"172",2,20,"male",27,"single","high","low","high","high",40,0,6.41839035930388,1.58028867799931,4,76
"173",2,20,"male",27,"single","high","low","low","low",20,20,3.17258839053044,2.27894857599949,5,77
"174",2,20,"male",27,"single","high","high","high","low",40,40,6.61362656795191,2.01217828100016,6,78
"175",2,20,"male",27,"single","high","low","low","low",20,40,4.02674680336556,3.40910048099977,7,79
"176",2,20,"male",27,"single","low","high","high","low",0,20,-6.90648088092395,1.9667873620001,8,80
"177",2,20,"male",27,"single","high","low","high","low",40,20,6.76005372443793,1.64924382700065,9,81
"178",2,20,"male",27,"single","high","low","high","high",0,40,-2.75771144715338,1.5684732360005,10,82
"179",2,20,"male",27,"single","low","high","low","low",0,20,-6.19874962457485,4.64651601200057,11,83
"180",2,20,"male",27,"single","high","low","high","low",40,20,7.00409898524797,4.46299288299997,12,84
"181",2,20,"male",27,"single","high","high","high","low",0,20,-5.63744552471178,3.71002510599919,13,85
"182",2,20,"male",27,"single","high","high","low","high",0,40,-5.93029983768382,1.09657018599955,14,86
"183",2,20,"male",27,"single","high","low","high","high",40,0,6.66243562011392,2.85924386900024,15,87
"184",2,20,"male",27,"single","low","low","low","high",0,0,-6.83326730268094,3.12297589399986,16,88
"185",2,20,"male",27,"single","high","low","low","high",20,0,1.65950777350823,3.86038316699978,17,89
"186",2,20,"male",27,"single","high","low","high","low",40,40,6.88207635484295,3.3386935869994,18,90
"187",2,20,"male",27,"single","high","low","low","high",20,0,1.51308061702221,3.62533969000015,19,91
"188",2,20,"male",27,"single","low","low","low","high",20,0,3.36782459917846,1.88279795499966,20,92
"189",2,20,"male",27,"single","high","low","low","high",20,0,1.85474398215626,5.62964606999958,21,93
"190",2,20,"male",27,"single","low","low","high","low",40,0,6.34517678106088,1.92377645899978,22,94
"191",2,20,"male",27,"single","high","low","high","low",0,20,-5.71065910295479,3.79490223100038,23,95
"192",2,20,"male",27,"single","low","high","high","high",0,0,-6.76005372443793,4.36518530899957,24,96
"193",3,22,"male",60,"double","high","low","low","high",20,0,1.36665346053619,3.58691205599825,1,1
