YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y,FRAME_PATH
2020,12,7,1,7,49,908231,0,317,17,218,38,382,000000152_000010533_c.png
2020,12,7,1,7,49,933785,0,318,0,38,39,381,000000153_000010599_c.png
2020,12,7,1,7,49,959111,0,321,0,38,34,382,000000154_000010666_c.png
2020,12,7,1,7,49,980891,0,303,39,220,10,380,000000155_000010733_c.png
2020,12,7,1,7,50,7,0,337,39,221,37,382,000000156_000010799_c.png
2020,12,7,1,7,50,17865,0,339,17,218,38,382,000000157_000010866_c.png
2020,12,7,1,7,50,37393,0,318,17,218,35,382,000000158_000010933_c.png
2020,12,7,1,7,50,56417,0,340,35,218,35,382,000000159_000010999_c.png
2020,12,7,1,7,50,75516,0,337,17,218,32,382,000000160_000011066_c.png
2020,12,7,1,7,50,96379,0,336,0,39,32,382,000000161_000011133_c.png
2020,12,7,1,7,50,117478,0,319,0,36,35,382,000000162_000011199_c.png
2020,12,7,1,7,50,140700,0,317,0,36,37,382,000000163_000011266_c.png
2020,12,7,1,7,50,165057,0,338,0,38,37,382,000000164_000011333_c.png
2020,12,7,1,7,50,187841,0,321,0,36,36,382,000000165_000011399_c.png
2020,12,7,1,7,50,211780,0,338,0,38,35,382,000000166_000011466_c.png
2020,12,7,1,7,50,235452,0,337,0,38,38,382,000000167_000011533_c.png
2020,12,7,1,7,50,259549,0,317,0,38,37,382,000000168_000011599_c.png
2020,12,7,1,7,50,282635,0,322,0,38,37,382,000000169_000011666_c.png
2020,12,7,1,7,50,305235,0,335,0,38,34,381,000000170_000011733_c.png
2020,12,7,1,7,50,330326,0,338,0,36,39,381,000000171_000011799_c.png
2020,12,7,1,7,50,355660,0,321,0,36,36,382,000000172_000011866_c.png
2020,12,7,1,7,50,381461,0,334,18,218,35,382,000000173_000011933_c.png
2020,12,7,1,7,50,401018,0,317,35,218,35,382,000000174_000011999_c.png
2020,12,7,1,7,50,423252,0,332,0,38,35,382,000000175_000012066_c.png
2020,12,7,1,7,50,444755,0,321,0,36,35,382,000000176_000012133_c.png
2020,12,7,1,7,50,464863,0,337,17,218,32,382,000000177_000012199_c.png
2020,12,7,1,7,50,486965,0,337,0,36,37,382,000000178_000012266_c.png
2020,12,7,1,7,50,507143,0,334,17,218,35,382,000000179_000012333_c.png
2020,12,7,1,7,50,529377,0,326,0,38,36,382,000000180_000012399_c.png
