YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y
2020,11,20,22,42,37,602100,129,199,133,241,125,167
2020,11,20,22,42,37,632974,127,178,134,230,122,139
2020,11,20,22,42,37,670621,125,149,130,200,121,120
2020,11,20,22,42,37,714171,125,149,130,200,121,120
2020,11,20,22,42,37,734375,126,140,119,102,132,158
2020,11,20,22,42,37,764966,124,124,121,90,132,146
2020,11,20,22,42,37,796577,125,113,121,83,131,133
2020,11,20,22,42,37,836318,124,106,141,163,118,77
2020,11,20,22,42,37,875942,124,104,143,152,120,70
2020,11,20,22,42,37,905898,124,104,143,153,120,70
2020,11,20,22,42,37,947176,123,98,141,143,121,65
2020,11,20,22,42,37,977485,123,90,131,127,120,63
2020,11,20,22,42,38,7687,124,90,129,135,119,61
2020,11,20,22,42,38,38717,124,85,128,142,118,60
2020,11,20,22,42,38,77913,124,86,128,140,116,59
2020,11,20,22,42,38,101008,124,86,128,140,115,59
2020,11,20,22,42,38,131828,124,86,127,140,113,58
2020,11,20,22,42,38,170630,123,85,126,139,112,56
2020,11,20,22,42,38,198102,122,85,125,139,109,53
2020,11,20,22,42,38,238244,122,84,125,139,107,50
2020,11,20,22,42,38,267354,123,81,125,129,106,47
2020,11,20,22,42,38,300681,123,81,125,129,106,47
2020,11,20,22,42,38,329174,125,81,127,129,104,44
2020,11,20,22,42,38,379132,124,77,128,128,103,40
2020,11,20,22,42,38,408513,122,69,128,122,102,38
2020,11,20,22,42,38,430300,112,51,128,118,101,38
2020,11,20,22,42,38,471296,111,51,126,120,99,38
2020,11,20,22,42,38,501846,111,51,126,120,99,38
2020,11,20,22,42,38,541204,117,61,125,120,97,36
2020,11,20,22,42,38,572253,109,51,125,120,94,35
2020,11,20,22,42,38,603355,106,49,125,116,91,34
2020,11,20,22,42,38,634281,104,47,124,116,90,33
2020,11,20,22,42,38,675486,105,48,124,116,90,33
2020,11,20,22,42,38,705234,105,48,124,116,90,33
2020,11,20,22,42,38,744896,105,48,124,116,90,36
2020,11,20,22,42,38,775159,105,48,124,116,92,37
2020,11,20,22,42,38,805720,117,65,123,118,106,38
2020,11,20,22,42,38,848172,116,64,123,119,115,41
2020,11,20,22,42,38,876834,118,68,124,118,128,47
2020,11,20,22,42,38,906998,118,68,124,118,128,47
2020,11,20,22,42,38,938126,123,72,123,120,149,61
2020,11,20,22,42,38,979005,131,75,175,66,118,90
2020,11,20,22,42,39,9562,161,69,124,93,200,66
2020,11,20,22,42,39,39945,183,69,232,63,152,72
2020,11,20,22,42,39,70717,227,64,265,63,189,64
2020,11,20,22,42,39,110983,227,64,265,63,189,64
2020,11,20,22,42,39,143523,254,64,303,67,223,61
2020,11,20,22,42,39,172410,301,66,252,61,336,72
2020,11,20,22,42,39,205978,317,67,369,81,283,63
2020,11,20,22,42,39,236345,373,77,414,78,358,71
2020,11,20,22,42,39,265090,411,74,357,68,432,61
2020,11,20,22,42,39,298098,411,74,356,68,432,61
2020,11,20,22,42,39,345160,410,73,359,86,433,53
2020,11,20,22,42,39,375298,412,71,362,87,437,51
2020,11,20,22,42,39,405395,410,71,363,89,439,50
2020,11,20,22,42,39,446382,410,67,435,52,393,77
2020,11,20,22,42,39,476872,409,65,433,56,391,70
2020,11,20,22,42,39,507558,409,65,433,56,391,70
2020,11,20,22,42,39,537919,407,65,376,72,431,57
2020,11,20,22,42,39,578561,409,65,353,82,430,58
2020,11,20,22,42,39,609302,409,65,355,82,430,56
2020,11,20,22,42,39,639648,407,66,355,82,431,57
2020,11,20,22,42,39,671144,409,65,355,82,431,57
2020,11,20,22,42,39,702762,407,66,355,82,431,55
2020,11,20,22,42,39,733298,409,65,355,82,432,55
2020,11,20,22,42,39,764057,408,66,354,82,433,53
2020,11,20,22,42,39,804304,408,66,355,82,434,53
2020,11,20,22,42,39,835176,408,66,355,82,434,53
2020,11,20,22,42,39,866059,408,66,354,82,434,53
2020,11,20,22,42,39,898495,408,66,355,82,434,53
2020,11,20,22,42,39,945946,408,66,355,82,431,56
2020,11,20,22,42,39,976631,408,66,354,82,431,56
2020,11,20,22,42,40,6423,407,66,355,82,430,58
2020,11,20,22,42,40,37317,408,66,429,83,384,70
2020,11,20,22,42,40,78705,415,72,432,104,399,67
2020,11,20,22,42,40,108862,415,72,432,104,399,67
2020,11,20,22,42,40,141755,424,192,413,240,429,163
2020,11,20,22,42,40,183015,417,232,412,279,426,209
2020,11,20,22,42,40,203109,416,263,407,308,426,233
2020,11,20,22,42,40,232741,408,301,406,335,418,269
2020,11,20,22,42,40,262936,407,319,404,356,413,293
2020,11,20,22,42,40,307470,407,319,404,356,413,293
2020,11,20,22,42,40,335107,406,341,413,289,411,364
2020,11,20,22,42,40,364412,404,347,412,298,419,368
2020,11,20,22,42,40,394336,406,350,410,301,425,368
2020,11,20,22,42,40,446144,412,353,403,317,428,368
2020,11,20,22,42,40,474711,411,353,397,322,430,367
2020,11,20,22,42,40,504358,413,354,399,320,431,366
2020,11,20,22,42,40,536727,411,352,395,311,430,365
2020,11,20,22,42,40,570582,411,351,395,302,430,369
2020,11,20,22,42,40,607040,413,351,434,373,400,334
2020,11,20,22,42,40,637540,416,350,439,374,402,331
2020,11,20,22,42,40,677780,417,346,438,374,407,330
2020,11,20,22,42,40,704027,417,346,438,374,407,330
2020,11,20,22,42,40,731302,408,358,417,328,372,367
2020,11,20,22,42,40,762271,392,363,421,347,363,365
2020,11,20,22,42,40,802362,389,363,353,361,407,362
2020,11,20,22,42,40,844174,386,364,344,362,404,365
2020,11,20,22,42,40,866934,376,365,338,362,395,366
2020,11,20,22,42,40,906792,376,365,338,362,395,366
2020,11,20,22,42,40,937351,364,363,332,361,389,362
2020,11,20,22,42,40,968483,360,362,327,363,389,361
2020,11,20,22,42,40,998360,358,361,328,367,382,360
2020,11,20,22,42,41,40327,333,362,371,364,300,366
2020,11,20,22,42,41,70219,329,363,364,365,295,368
2020,11,20,22,42,41,100668,329,363,364,365,295,368
2020,11,20,22,42,41,131372,322,364,286,367,357,362
2020,11,20,22,42,41,179491,316,365,357,361,277,365
2020,11,20,22,42,41,202393,300,365,348,361,270,365
2020,11,20,22,42,41,231204,296,365,332,362,262,365
2020,11,20,22,42,41,270533,290,365,335,359,254,366
2020,11,20,22,42,41,300762,290,365,335,359,254,366
2020,11,20,22,42,41,332182,281,366,327,359,244,362
2020,11,20,22,42,41,371424,254,365,292,365,220,367
2020,11,20,22,42,41,411376,246,366,284,359,209,368
2020,11,20,22,42,41,441987,224,367,270,362,193,367
2020,11,20,22,42,41,473148,215,366,263,364,182,369
2020,11,20,22,42,41,513379,215,366,264,364,181,367
